headword,type,cefr,meaning,ipa,example,image_link,topic
accent,noun,B1,a way of speaking that shows where somebody is from,/'?s?nt/,His accent gave away his origins.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accept,verb,A2,to agree to take or allow something,/?k'sept/,They accepted the offer.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
acceptable,adjective,A2,good enough to be accepted,/?k'sept?bl/,The solution was considered acceptable.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
acceptance,noun,B1,the act of accepting something,/?k'sept?ns/,The acceptance speech was emotional.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
access,noun,B1,the right to enter or use something,/'?ses/,He has access to the restricted area.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
access,verb,B2,to get into or onto something,/'?ses/,They accessed the computer system.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accessibility,noun,B2,the state of being easily accessible,/??s?'ses?b?l?ti/,The venue was highly accessible.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accessible,adjective,B1,easily reached or entered,/?k'ses?bl/,The museum is easily accessible by public transport.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accessory,noun,B1,an item of clothing or jewelry that is worn to complete an outfit,/?k'ses?ri/,She wore a matching necklace and earrings.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accident,noun,A2,an unexpected and often unpleasant event,/'?s?d?nt/,The accident caused major traffic disruptions.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accidental,adjective,B1,happening by chance,/??s?'dent?l/,The accident was described as accidental.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accidentally,adverb,B1,by chance,/??s?'dent?li/,She accidentally spilled the coffee.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accommodation,noun,B2,a place to stay,/??k?m?'de???n/,They found excellent accommodation for their trip.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accompany,verb,B1,to go with somebody or something,/?'k?mp?ni/,She was accompanied by her parents.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accomplish,verb,B1,to achieve something,/?'k?mpl??/,He accomplished his goal.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
according to,preposition,B1,as stated by,/?'k??rd?? tu?/,"According to the report, sales increased.",https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accordingly,adverb,B2,as a result of something,/?'k??rd??li/,The price increased accordingly.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
account,noun,A2,a record of money owed by one person to another,/?'ka?nt/,He has an account at the bank.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
account,verb,B1,to explain or describe something,/?'ka?nt/,Can you account for your actions?,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accountant,noun,B1,someone whose job is to keep records of money,/?'ka?nt?nt/,The accountant prepared the financial report.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accumulate,verb,B2,to gradually collect or get more of something,/?'kju?mj?le?t/,The company accumulated a large debt.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accuracy,noun,B1,the quality of being correct,/'?j?r?si/,The accuracy of the data was questioned.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accurate,adjective,B1,correct,/'?j?r?t/,The information provided was accurate.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accurately,adverb,B1,exactly,/'?j?r?tli/,She accurately described the situation.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accusation,noun,B2,the act of accusing somebody of doing something wrong,/?'kju?z???n/,The accusation was denied by the defendant.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accuse,verb,B1,to say that somebody is guilty of a crime,/?'kju?z/,He was accused of theft.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
accustom,verb,B1,to make somebody used to something,/?'k?st?m/,She was accustomed to the noise.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
ache,noun,B1,a painful feeling,/e?k/,His ache in the back was unbearable.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
ache,verb,B2,to feel pain,/e?k/,Her feet ached after walking all day.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
achievable,adjective,B2,possible to achieve,/?'t?i?v?bl/,The target was considered achievable.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
achieve,verb,A2,to succeed in doing something,/?'t?i?v/,She achieved her dream of becoming a doctor.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
achievement,noun,B1,something that has been done successfully,/?'t?i?vm?nt/,Her achievements in the field were impressive.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
acid,noun,B2,a substance that makes something more acidic,/'??d/,The solution was highly acidic.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
acknowledge,verb,B1,to admit that something is true or exists,/?k'n?l?d?/,He acknowledged his mistake.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
acknowledgment/acknowledgement,noun,B1,the act of acknowledging something,/?k'n?l?d?m?nt/,The acknowledgment of her contribution was appreciated.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
acquaintance,noun,B1,someone you know but do not know well,/?'kwe?nt?ns/,She made new acquaintances at the party.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
acquire,verb,B1,to get or learn something,/?'kwa??/,He acquired new skills during his training.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
acquisition,noun,B2,the act of getting or learning something,/?'kw?z???n/,The acquisition of new technology was a priority.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
across,adverb,A2,from one side of something to the other,/?'kr?s/,She walked across the street.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
across,preposition,A2,from one side of something to the other,/?'kr?s/,The bridge spans the river across.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
act,noun,A2,the way that somebody behaves or the things that they do,/?t/,His actions were unacceptable.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
act,verb,B1,to behave in a particular way,/?t/,She acted professionally in the meeting.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,house
action,noun,A1,something that is done,/'???n/,The police took immediate action.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
active,adjective,B1,doing things and not sitting or lying down,/'?t?v/,He leads an active lifestyle.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
actively,adverb,B2,in an active way,/'?t?vli/,She actively participated in the discussion.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
activity,noun,A1,something that is done,/?'t?v?ti/,Outdoor activities are good for health.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
actor,noun,A1,"someone who performs in plays, films, or television",/'?t?/,He is a famous actor.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
actress,noun,B1,"a woman who performs in plays, films, or television",/'?tr?s/,She is a talented actress.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
actual,adjective,B2,real and not imagined or fake,/'?t?u?l/,The actual cost was higher than expected.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
actually,adverb,A2,in fact,/'?t?u?li/,She actually enjoys her job.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
acute,adjective,B2,severe,/?'kju?t/,The pain was acute and required medical attention.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
ad,noun,B1,a short paid advertisement,/?/,The ad promoted the new product.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
adapt,verb,B1,to change something to fit a new situation,/?'d?t/,The plan had to be adapted to the new circumstances.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
adaptable,adjective,B2,able to change easily to suit new conditions,/?'d?t?bl/,She is highly adaptable and can work in different environments.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
add,verb,A1,to put something in or onto something else,/?/,Please add salt to the dish.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
addict,noun,B2,someone who is addicted to a drug or habit,/'??kt/,He was a drug addict.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
addicted,adjective,B2,unable to stop using a drug or engaging in a habit,/?'d?kt?d/,She was addicted to smoking.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
addiction,noun,B2,the state of being addicted to a drug or habit,/?'d?k??n/,The report highlighted the dangers of addiction.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
addition,noun,A2,the act of adding,/?'d???n/,The addition of more resources was necessary.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
additional,adjective,A2,extra,/?'d???nl/,Additional security measures were put in place.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
additionally,adverb,B2,in addition,/?'d???n?li/,The report provided additional information.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
address,noun,A1,the place where somebody lives or works,/?'dres/,Can you give me your address?,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,flower
address,verb,B1,to speak to somebody,/?'dres/,He addressed the audience.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
addressee,noun,B1,"the person to whom a letter, email, etc. is sent",/?'dresi/,The letter was addressed to the CEO.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adequate,adjective,B2,enough for a particular purpose,/'??kw?t/,The resources were considered adequate.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adequately,adverb,B2,enough,/'??kw?tli/,The solution adequately addressed the problem.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adjective,noun,A2,a word that describes a noun,/'???kt?v/,The adjective beautiful" describes the noun "flower".",https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adjust,verb,A2,to change something to fit a new situation,/?'d??st/,The price had to be adjusted.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adjustment,noun,B2,a change made to fit a new situation,/?'d??stm?nt/,The adjustment of the schedule was necessary.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
administration,noun,B1,the group of people who control and run an organization,/?d'm?n?stre???n/,The new administration took office last year.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
administrative,adjective,B2,relating to the management of an organization,/?d'm?n?str?t?v/,The administrative tasks were time-consuming.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
admirable,adjective,B2,deserving respect,/'?m?r?bl/,Her determination was admirable.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
admiration,noun,B1,the feeling of respect,/?d'm?re???n/,She received admiration for her achievements.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
admire,verb,A2,to respect and like somebody/something,/?d'ma??/,I admire her courage.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
admiringly,adverb,B2,in an admiring way,/?d'ma??r??li/,He was admiringly watching her performance.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
admission,noun,B1,the act of allowing somebody to enter a place,/?d'm???n/,Admission to the concert is free.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
admit,verb,A2,to allow somebody to enter a place,/?d'm?t/,They admitted him to the hospital.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
admittedly,adverb,B2,if you admit it,/?d'm?t?dli/,"Admittedly, I made a mistake.",https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adopt,verb,B1,to officially take responsibility for a child,/?'d?pt/,They adopted a baby.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adopted,adjective,B2,officially taken responsibility for a child,/?'d?pt?d/,She is an adopted child.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adoption,noun,B2,the act of officially taking responsibility for a child,/?'d?p??n/,The adoption process can be complex.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adorable,adjective,B1,very attractive and appealing,/'??r?bl/,The baby was adorable.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adore,verb,B2,to love and admire somebody/something very much,/?'d??/,She adores her dog.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adorn,verb,B2,to decorate,/?'d??n/,The room was adorned with beautiful art.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adult,adjective,A2,of or for adults,/'??lt/,The event was for adults only.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adult,noun,A2,a fully grown person,/'??lt/,She is an adult.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advance,noun,B2,progress made towards a goal,/?d'v?s/,The project made significant advance.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advance,verb,B1,to move forward,/?d'v?s/,The car advanced slowly.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advanced,adjective,A2,having or showing the most developed stage of a quality,/?d'v?st/,The technology was considered advanced.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advancement,noun,B2,progress made towards a goal,/?d'v?sm?nt/,His advancement in the company was rapid.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advantage,noun,A2,"a good feature of a situation, person, or thing",/?d'v?t?d?/,The new system has several advantages.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advent,noun,B2,an exciting or unusual event,/?d'vent/,The advent of the new technology was celebrated.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adventure,noun,A2,an exciting and sometimes dangerous activity,/?d'vent??/,She loves going on adventures.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adventurous,adjective,B2,willing to take risks,/?d'vent??r?s/,He is an adventurous person.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adverb,noun,B1,"a word that describes a verb, adjective, or another adverb",/'?v?rb/,The adverb quickly" modifies the verb "run".",https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adverbial,adjective,B1,relating to or used as an adverb,/?d'v??rbi?l/,The adverbial phrase in a hurry" modifies the verb.",https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adverse,adjective,B2,unfavorable,/'?v?rs/,The weather conditions were adverse.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adversely,adverb,B2,in an unfavorable way,/'?v?rsl?/,The lack of resources affected the project adversely.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adversity,noun,B2,difficulties or problems,/?d'v??rs?ti/,He faced adversity but remained optimistic.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advert,noun,B1,"a paid announcement in a newspaper, magazine, etc.",/'?v?rt/,The advert promoted the new product.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advertise,verb,B1,to make people aware of something in order to encourage them to buy it,/'?v?ta?z/,The company advertised the sale.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advertisement,noun,A2,"a paid announcement in a newspaper, magazine, etc.",/?d'v??rt?sm?nt/,The advertisement was for a job vacancy.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advertising,noun,A2,the business of making people aware of something in order to encourage them to buy it,/?d'v??ta?z??/,The advertising campaign was successful.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advice,noun,A2,recommendations given by an expert,/?d'va?s/,She sought advice from her doctor.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
advise,verb,A2,to give advice,/?d'va?z/,I advise you to be careful.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
adviser/advisor,noun,B1,someone who gives advice,/?d'va?z?/,She is a financial advisor.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
aerobics,noun,B1,exercises done while standing or sitting,/'e?r?b?ks/,Aerobics classes are popular for fitness.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
affair,noun,A2,a romantic or sexual relationship between two people,/?'f??/,The affair was kept secret.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
affect,verb,B1,to have an impact on,/?'fekt/,The changes will affect everyone.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
affection,noun,B1,love and care,/?'fek??n/,She showed her affection towards her family.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
affectionate,adjective,B2,showing love and care,/?'fek??n?t/,He is an affectionate person.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
affectionately,adverb,B2,in an affectionate way,/?'fek??n?tli/,She affectionately called him her sweetheart.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
afford,verb,B1,to have enough money to pay for something,/?'f??d/,They could not afford the luxury car.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
affordable,adjective,B2,cheap enough to be affordable,/?'f??d?bl/,The apartment was affordable and close to the city center.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
afraid,adjective,A1,feeling fear,/?'fre?d/,She was afraid of the dark.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
after,adverb,A2,later than,/'?t?/,The concert started after midnight.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
after,conjunction,B1,when something happens later than something else,/'?t?/,"After the rain, the sun came out.",https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
after,preposition,A1,later than,/'?t?/,She arrived after the meeting.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
afternoon,noun,A1,the time from around 12 o'clock to 6 o'clock in the evening,/'?t?nu?n/,The afternoon was spent relaxing.,https://letsenhance.io/static/73136da51c245e80edc6ccfe44888a99/1015f/MainBefore.jpg,travel
